name,short_prompt,long_prompt
Select an agent...,"with the skill of a digital artist.","with the skill of a digital artist.",
Graphic Designer,"with the skill of graphic designer.","with the skills of creating new digital contents and very attractive.",
Visual Fx Supervisor,"with he skill of a visual effect supervisor.","with the skills of editing videos and applying visual effects layers.",
Video Producer,"with the skill of a video producer.","with the skills of video editing and publishing, of a video producer."
Storyboarder,"with a skill of a storyboarder.","with the skill of a professional storyboarder.",
Game Developer,"with a skill of a Game Developer.","with the skill of a professional Game Developer.",
Marketing Manager,"with a skill of a Marketing Manager.","with the skill of a professional Marketing Manager.",
Fashion Designer,"with a skill of a fashion designer","with a skill of a fashion designer",
